team,champion_count,probability,rank,probability_pct
Spain,22426,0.22426,1,22.43
Argentina,13883,0.13883,2,13.88
France,13630,0.1363,3,13.63
Morocco,8319,0.08319,4,8.32
England,7826,0.07826,5,7.83
Netherlands,4003,0.04003,6,4.0
Japan,3941,0.03941,7,3.94
Germany,3843,0.03843,8,3.84
Brazil,2853,0.02853,9,2.85
Portugal,2484,0.02484,10,2.48
Senegal,2059,0.02059,11,2.06
Croatia,2044,0.02044,12,2.04
Belgium,1855,0.01855,13,1.86
Mexico,1291,0.01291,14,1.29
Australia,1122,0.01122,15,1.12
Switzerland,997,0.00997,16,1.0
South Korea,958,0.00958,17,0.96
Colombia,930,0.0093,18,0.93
Turkey,811,0.00811,19,0.81
Iran,679,0.00679,20,0.68
Uruguay,501,0.00501,21,0.5
United States,486,0.00486,22,0.49
Algeria,438,0.00438,23,0.44
Ecuador,377,0.00377,24,0.38
Canada,338,0.00338,25,0.34
Norway,335,0.00335,26,0.34
Ivory Coast,315,0.00315,27,0.32
Austria,313,0.00313,28,0.31
Egypt,218,0.00218,29,0.22
Panama,191,0.00191,30,0.19
Uzbekistan,147,0.00147,31,0.15
DR Congo,97,0.00097,32,0.1
Paraguay,56,0.00056,33,0.06
Iraq,49,0.00049,34,0.05
Scotland,44,0.00044,35,0.04
Tunisia,41,0.00041,36,0.04
Czech Republic,29,0.00029,37,0.03
Jordan,25,0.00025,38,0.02
Sweden,19,0.00019,39,0.02
South Africa,11,0.00011,40,0.01
Qatar,5,5e-05,41,0.0
Saudi Arabia,5,5e-05,42,0.0
Cape Verde,2,2e-05,43,0.0
Haiti,2,2e-05,44,0.0
Bosnia and Herzegovina,2,2e-05,45,0.0
